"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C14,C13";"C_0402_1005Metric";2;"12pF";;;
2;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"KC2520Z (25MHz)";;;
3;"R14,R15";"R_0402_1005Metric";2;"22Ω";;;
4;"U3";"SOT-23-6";1;"USBLC6-2SC6";;;
5;"F1";"Fuse_1812_4532Metric";1;"500mA Polyfuse";;;
6;"R10,R9,R1,R20,R12,R16,R17,R11,R2,R13";"R_0402_1005Metric";10;"10kΩ";;;
7;"C1,C11,C3";"C_0805_2012Metric";3;"10µF";;;
8;"C10";"C_0402_1005Metric";1;"1µF";;;
9;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
10;"R19,R18";"R_0402_1005Metric";2;"330Ω";;;
11;"C8,C2,C7,C12,C6,C4,C9,C15,C5";"C_0402_1005Metric";9;"100nF";;;
12;"D1";"LED_0402_1005Metric";1;"Green LED";;;
13;"SW1";"SW_SPST_PTS645Sx43SMTR92";1;"SW_SPST";;;
14;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
15;"J3";"FanPinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
16;"R3,R6,R4,R5,R8,R7";"R_0402_1005Metric";6;"47Ω";;;
17;"J1";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
18;"D2";"LED_0402_1005Metric";1;"Yellow LED";;;
19;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F411RETx";;;
20;"J4";"microSD_HC_Molex_47219-2001";1;"Micro_SD_Card_Det1";;;
